clade,order,family,genus,taxon,Nucleic_acid
Astro,<not_present>,Astroviridae,<not_present>,Astroviridae,ssRNA(+)
Astro,<not_present>,Astroviridae,Avastrovirus,Astroviridae,ssRNA(+)
Astro,<not_present>,Astroviridae,Mamastrovirus,Astroviridae,ssRNA(+)
Astro,<not_present>,Astroviridae,<not_present>,Astroviridae,ssRNA(+)
Birna,<not_present>,Birnaviridae,<not_present>,Birnaviridae,dsRNA
Birna,<not_present>,Birnaviridae,Aquabirnavirus,Birnaviridae,dsRNA
Birna,<not_present>,Birnaviridae,Avibirnavirus,Birnaviridae,dsRNA
Birna,<not_present>,Birnaviridae,Blosnavirus,Birnaviridae,dsRNA
Birna,<not_present>,Birnaviridae,Entomobirnavirus,Birnaviridae,dsRNA
Birna,<not_present>,Birnaviridae,<not_present>,Birnaviridae,dsRNA
Bunya-Arena,Bunyavirales,Feraviridae,Orthoferavirus,Feraviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,<not_present>,<not_present>,Bunyavirales,ssRNA(-)
Bunya-Arena,Bunyavirales,<not_present>,<not_present>,Bunyavirales,ssRNA(-)
Bunya-Arena,Bunyavirales,Nairoviridae,Nairovirus,Nairoviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,Peribunyaviridae,Herbevirus,Peribunyaviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,Peribunyaviridae,<not_present>,Peribunyaviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Peribunyaviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,Phasmaviridae,Orthophasmavirus,Phasmaviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,Phenuiviridae,Goukovirus,Phenuiviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,Phenuiviridae,Tenuivirus,Phenuiviridae,ssRNA(-)
Bunya-Arena,Bunyavirales,Tospoviridae,Orthotospovirus,Tospoviridae,ssRNA(-)
Bunya-Arena,<not_present>,Arenaviridae,Arenavirus,Arenaviridae,ssRNA(-)
Flavi,<not_present>,Flaviviridae,Flavivirus,Flaviviridae,ssRNA(+)
Flavi,<not_present>,Flaviviridae,Hepacivirus,Flaviviridae,ssRNA(+)
Flavi,<not_present>,Flaviviridae,<not_present>,Flaviviridae,ssRNA(+)
Hepe-Virga,<not_present>,Bromoviridae,Ilarvirus,Bromoviridae,ssRNA(+)
Hepe-Virga,<not_present>,Alphatetraviridae,Betatetravirus,Alphatetraviridae,ssRNA(+)
Hepe-Virga,<not_present>,Alphatetraviridae,Omegatetravirus,Alphatetraviridae,ssRNA(+)
Hepe-Virga,<not_present>,Benyviridae,<not_present>,Benyviridae,ssRNA(+)
Hepe-Virga,<not_present>,Benyviridae,Benyvirius,Benyviridae,ssRNA(+)
Hepe-Virga,<not_present>,Benyviridae,Benyvirus,Benyviridae,ssRNA(+)
Hepe-Virga,<not_present>,Bromoviridae,Bromovirus,Bromoviridae,ssRNA(+)
Hepe-Virga,<not_present>,Bromoviridae,Ilarvirus,Bromoviridae,ssRNA(+)
Hepe-Virga,<not_present>,Closteroviridae,Ampelovirus,Closteroviridae,ssRNA(+)
Hepe-Virga,<not_present>,Closteroviridae,Closterovirus,Closteroviridae,ssRNA(+)
Hepe-Virga,<not_present>,Closteroviridae,<not_present>,Closteroviridae,ssRNA(+)
Hepe-Virga,<not_present>,Endornaviridae,Alphaendornavirus,Endornaviridae,dsRNA
Hepe-Virga,<not_present>,Endornaviridae,Endornavus,Endornaviridae,dsRNA
Hepe-Virga,<not_present>,Endornaviridae,<not_present>,Endornaviridae,dsRNA
Hepe-Virga,<not_present>,Hepeviridae,Hepevirius,Hepeviridae,ssRNA(+)
Hepe-Virga,<not_present>,<not_present>,<not_present>,Cilevirus,ssRNA(+)
Hepe-Virga,<not_present>,<not_present>,<not_present>,Idaeovirus,ssRNA(-)
Hepe-Virga,<not_present>,<not_present>,Negevirus,Negevirus,ssRNA(+)
Hepe-Virga,<not_present>,Togaviridae,Alphavirus,Togaviridae,ssRNA(+)
Hepe-Virga,<not_present>,Togaviridae,Togavirius,Togaviridae,ssRNA(+)
Hepe-Virga,<not_present>,Virgaviridae,<not_present>,Virgaviridae,ssRNA(+)
Hepe-Virga,<not_present>,Virgaviridae,Tobamovirus,Virgaviridae,ssRNA(+)
Hepe-Virga,<not_present>,Virgaviridae,Tobravirus,Virgaviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Alphaflexiviridae,Allexivirus,Alphaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Alphaflexiviridae,Botrexvirus,Alphaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Alphaflexiviridae,Lolavirus,Alphaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Alphaflexiviridae,<not_present>,Alphaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Alphaflexiviridae,Potexvirus,Alphaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Alphaflexiviridae,,Alphaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Betaflexiviridae,Capillovirus,Betaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Betaflexiviridae,Carlavirus,Betaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Betaflexiviridae,Chordovirus,Betaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Betaflexiviridae,Divavirus,Betaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Betaflexiviridae,Foveavirus,Betaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Betaflexiviridae,<not_present>,Betaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Betaflexiviridae,Trichovirus,Betaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Gammaflexiviridae,Mycoflexivirus,Gammaflexiviridae,ssRNA(+)
Hepe-Virga,Tymovirales,<not_present>,<not_present>,Tymovirales,ssRNA(+)
Hepe-Virga,Tymovirales,Tymoviridae,Maculavirus,Tymoviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Tymoviridae,Marafivirus,Tymoviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Tymoviridae,<not_present>,Tymoviridae,ssRNA(+)
Hepe-Virga,Tymovirales,Tymoviridae,Tymovirus,Tymoviridae,ssRNA(+)
Hypo,<not_present>,Hypoviridae,Hypovirus,Hypoviridae,dsRNA
Luteo-Sobemo,<not_present>,Barnaviridae,Barnavirus,Barnaviridae,ssRNA(+)
Luteo-Sobemo,<not_present>,Solemoviridae,Sobemovirus,Solemoviridae,ssRNA(+)
Mono-Chu,Mononegavirales,Bornaviridae,Orthobornavirus,Bornaviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Filoviridae,Ebolavirus,Filoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Mymonaviridae,Sclerotimonavirus,Mymonaviridae,ssRNA(-)
Mono-Chu,Mononegavirales,<not_present>,Anphevirus,Anphevirus,ssRNA(-)
Mono-Chu,Mononegavirales,<not_present>,Chuvirus,Chuvirus,ssRNA(-)
Mono-Chu,Mononegavirales,<not_present>,<not_present>,Mononegavirales,ssRNA(-)
Mono-Chu,Mononegavirales,Nyamiviridae,Nyavirus,Nyamiviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Paramyxoviridae,Paramyxovirus,Paramyxoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Cytorhabdovirus,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Ephemerovirus,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Ledantevirus,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Lyssavirus,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,<not_present>,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Rhabdovius,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Sigmavirus,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Tupavirus,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Varicosavirus,Rhabdoviridae,ssRNA(-)
Mono-Chu,Mononegavirales,Rhabdoviridae,Vesiculovirus,Rhabdoviridae,ssRNA(-)
<not_present>,Caudovirales,Myoviridae,Bcep78virus,Myoviridae,dsDNA
<not_present>,Caudovirales,Myoviridae,Cp8virus,Myoviridae,dsDNA
<not_present>,Caudovirales,Myoviridae,Kpp10virus,Myoviridae,dsDNA
<not_present>,Caudovirales,Myoviridae,<not_present>,Myoviridae,dsDNA
<not_present>,Caudovirales,Myoviridae,P100virus,Myoviridae,dsDNA
<not_present>,Caudovirales,Myoviridae,Phikzvirus,Myoviridae,dsDNA
<not_present>,Caudovirales,Myoviridae,Se1virus,Myoviridae,dsDNA
<not_present>,Caudovirales,Myoviridae,T4virus,Myoviridae,dsDNA
<not_present>,Caudovirales,<not_present>,<not_present>,Caudovirales,dsDNA
<not_present>,Caudovirales,Podoviridae,Kp32virus,Podoviridae,dsDNA
<not_present>,Caudovirales,Podoviridae,<not_present>,Podoviridae,dsDNA
<not_present>,Caudovirales,Podoviridae,Phikmvvirus,Podoviridae,dsDNA
<not_present>,Caudovirales,Podoviridae,T7virus,Podoviridae,dsDNA
<not_present>,Caudovirales,Siphoviridae,<not_present>,Siphoviridae,dsDNA
<not_present>,Caudovirales,Siphoviridae,T5virus,Siphoviridae,dsDNA
<not_present>,Herpesvirales,Herpesviridae,Cytomegalovirus,Herpesviridae,dsDNA
<not_present>,<not_present>,Amalgaviridae,<not_present>,Amalgaviridae,dsRNA
<not_present>,<not_present>,Baculoviridae,Alphabaculovirus,Baculoviridae,dsDNA
<not_present>,<not_present>,Baculoviridae,Gammabaculovirus,Baculoviridae,dsDNA
<not_present>,<not_present>,Baculoviridae,<not_present>,Baculoviridae,dsDNA
<not_present>,<not_present>,Bidnaviridae,Bidensovirus,Bidnaviridae,ssDNA
<not_present>,<not_present>,Carmotetraviridae,Alphacarmotetravirus,Carmotetraviridae,ssRNA(+)
<not_present>,<not_present>,Circoviridae,<not_present>,Circoviridae,ssDNA
<not_present>,<not_present>,Geminiviridae,<not_present>,Geminiviridae,ssDNA
<not_present>,<not_present>,Genomoviridae,Gemycircularvirus,Genomoviridae,ssDNA
<not_present>,<not_present>,Genomoviridae,Gemykibivirus,Genomoviridae,ssDNA
<not_present>,<not_present>,Genomoviridae,Gemykrogvirus,Genomoviridae,ssDNA
<not_present>,<not_present>,Genomoviridae,<not_present>,Genomoviridae,ssDNA
<not_present>,<not_present>,Hytrosaviridae,Glossinavirus,Hytrosaviridae,dsDNA
<not_present>,<not_present>,Hytrosaviridae,Muscavirus,Hytrosaviridae,dsDNA
<not_present>,<not_present>,Lavidaviridae,Sputnikvirus,Lavidaviridae,dsDNA
<not_present>,<not_present>,Leviviridae,Allolevivirus,Leviviridae,dsDNA
<not_present>,<not_present>,Leviviridae,Levivirus,Leviviridae,dsDNA
<not_present>,<not_present>,Leviviridae,<not_present>,Leviviridae,dsDNA
<not_present>,<not_present>,Microviridae,<not_present>,Microviridae,ssDNA
<not_present>,<not_present>,Mimiviridae,<not_present>,Mimiviridae,dsDNA
<not_present>,<not_present>,Nudiviridae,<not_present>,Nudiviridae,dsDNA
<not_present>,<not_present>,Parvoviridae,Ambidensovirus,Parvoviridae,ssDNA
<not_present>,<not_present>,Parvoviridae,Brevidensovirus,Parvoviridae,ssDNA
