clade,order,family,genus,cluster,NucleicAcid,species
Baculo,NA,Baculoviridae,NA,Baculo,dsDNA,Autographa californica multiple nucleopolyhedrovirus
Baculo,NA,Baculoviridae,NA,Baculo,dsDNA,Culex nigripalpus NPV Florida/1997
Herpes,NA,Herpesviridae,NA,Herpes,dsDNA,Human herpesvirus 2
Herpes,NA,Herpesviridae,NA,Herpes,dsDNA,Human herpesvirus 6A
Herpes,NA,Herpesviridae,NA,Herpes,dsDNA,Human herpesvirus 8
Herpes,NA,Herpesviridae,NA,Herpes,dsDNA,Saimiriine herpesvirus 2
Irido,NA,Iridoviridae,NA,Irido,dsDNA,Epizootic haematopoietic necrosis virus
Irido,NA,Iridoviridae,NA,Irido,dsDNA,Invertebrate iridescent virus 30
Irido,NA,Iridoviridae,NA,Irido,dsDNA,Invertebrate iridescent virus 9
Irido,NA,Iridoviridae,NA,Irido,dsDNA,Invertebrate iridovirus 22
Mimi,NA,Mimiviridae,NA,Mimi,dsDNA,Acanthamoeba polyphaga mimivirus
Mimi,NA,Mimiviridae,NA,Mimi,dsDNA,Cafeteria roenbergensis virus
Mimi,NA,Mimiviridae,NA,Mimi,dsDNA,Megavirus chiliensis
Mimi,NA,Mimiviridae,NA,Mimi,dsDNA,Moumouvirus
Myo,Caudovirales,Myoviridae,NA,Myo,dsDNA,Pectobacterium phage ZF40
Myo,Caudovirales,Myoviridae,NA,Myo,dsDNA,Salicola phage SCTP-2
Myo,Caudovirales,Myoviridae,NA,Myo,dsDNA,Vibrio phage 11895-B1
Nima,NA,Nimaviridae,NA,Nima,dsDNA,White spot syndrome virus
Nudi,NA,Nudiviridae,NA,Nudi,dsDNA,Drosophila innubila nudivirus
Nudi,NA,Nudiviridae,NA,Nudi,dsDNA,Kallithea virus
Nudi,NA,Nudiviridae,NA,Nudi,dsDNA,Oryctes rhinoceros nudivirus
Nudi,NA,Nudiviridae,NA,Nudi,dsDNA,Tomelloso virus
Papilloma,NA,Papillomaviridae,NA,Papilloma,dsDNA,Alphapapillomavirus 9
Papilloma,NA,Papillomaviridae,NA,Papilloma,dsDNA,Felis catus papillomavirus 3
Phycodna,NA,Phycodnaviridae,NA,Phycodna,dsDNA,Chrysochromulina ericina virus
Phycodna,NA,Phycodnaviridae,NA,Phycodna,dsDNA,Paramecium bursaria Chlorella virus 1
Phycodna,NA,Phycodnaviridae,NA,Phycodna,dsDNA,Paramecium bursaria Chlorella virus Can18-4
Podo,Caudovirales,Podoviridae,NA,Podo,dsDNA,Cronobacter phage Dev-CD-23823
Podo,Caudovirales,Podoviridae,NA,Podo,dsDNA,Vibrio phage phi-A318
Polydna,NA,Polydnaviridae,NA,Polydna,dsDNA,Glyptapanteles flavicoxis bracovirus
Pox,NA,Poxviridae,NA,Pox,dsDNA,Adoxophyes honmai entomopoxvirus 'L'
Pox,NA,Poxviridae,NA,Pox,dsDNA,Anomala cuprea entomopoxvirus
Pox,NA,Poxviridae,NA,Pox,dsDNA,Choristoneura biennis entomopoxvirus 'L'
Pox,NA,Poxviridae,NA,Pox,dsDNA,Fowlpox virus
Pox,NA,Poxviridae,NA,Pox,dsDNA,Lumpy skin disease virus
Pox,NA,Poxviridae,NA,Pox,dsDNA,Melanoplus sanguinipes entomopoxvirus
Pox,NA,Poxviridae,NA,Pox,dsDNA,Orf virus
Pox,NA,Poxviridae,NA,Pox,dsDNA,Yoka poxvirus
unclass_DNA,NA,NA,NA,unclass_DNA,dsDNA,Pseudomonas phage IME180
unclass_DNA,NA,NA,NA,unclass_DNA,dsDNA,Pseudomonas phage pf16
Caulimo,NA,Caulimoviridae,NA,Caulimo,dsDNA-RT,Banana streak virus
Caulimo,NA,Caulimoviridae,NA,Caulimo,dsDNA-RT,Cauliflower mosaic virus
Hepe-Virga,NA,Endornaviridae,NA,Endorna,dsRNA,Hot pepper endornavirus
Hepe-Virga,NA,Endornaviridae,NA,Endorna,dsRNA,Oryza sativa endornavirus
Hepe-Virga,NA,Endornaviridae,NA,Endorna,dsRNA,Phaseolus vulgaris endornavirus
Hepe-Virga,NA,Endornaviridae,NA,Endorna,dsRNA,Vicia faba endornavirus
Partiti-Picobirna,NA,Birnaviridae,Entomobirnavirus,Birna,dsRNA,Drosophila x virus
Partiti-Picobirna,NA,Birnaviridae,NA,Birna,dsRNA,Eridge virus
Partiti-Picobirna,NA,Birnaviridae,NA,Birna,dsRNA,Espirito Santo virus
Partiti-Picobirna,NA,Birnaviridae,NA,Birna,dsRNA,Mosquitoe x virus
Partiti-Picobirna,NA,Birnaviridae,NA,Birna,dsRNA,Culex Y virus
Partiti-Picobirna,NA,Birnaviridae,NA,Birna,dsRNA,Infectious pancreatic necrosis virus
Partiti-Picobirna,NA,NA,NA,Birna,dsRNA,Culicine-associated Z virus
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Botryosphaeria dothidea partitivirus 1
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Botrytis cinerea partitivirus 1
Partiti-Picobirna,NA,Partitiviridae,Betapartitivirus,Partiti,dsRNA,Heterobasidion partitivirus 2
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Heterobasidion partitivirus 7
Partiti-Picobirna,NA,Partitiviridae,Betapartitivirus,Partiti,dsRNA,Lentinula edodes partitivirus 1
Partiti-Picobirna,NA,Partitiviridae,Betapartitivirus,Partiti,dsRNA,Pleurotus ostreatus virus 1
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Ceratocystis polonica partitivirus
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Drosophila-associated Partitiviridae-like 2
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Grapevine partitivirus
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Rosellinia necatrix virus 1
Partiti-Picobirna,NA,Partitiviridae,Betapartitivirus,Partiti,dsRNA,Vicia faba partitivirus 1
Partiti-Picobirna,NA,Partitiviridae,NA,Partiti,dsRNA,Drosophila-associated Partitiviridae-like 4
Partiti-Picobirna,NA,NA,NA,Partiti-Picobirna_unclass,dsRNA,Changjiang partiti-like virus 1
Reo,NA,Reoviridae,Fijivirus,Reo,dsRNA,Nilaparvata lugens reovirus
Reo,NA,Reoviridae,Phytoreovirus,Reo,dsRNA,Rice gall dwarf virus
Reo,NA,Reoviridae,NA,Reo,dsRNA,Acinopterus angulatus reovirus
Reo,NA,Reoviridae,Dinovernavirus,Reo,dsRNA,Aedes pseudoscutellaris reovirus
Reo,NA,Reoviridae,NA,Reo,dsRNA,Corriparta virus
Reo,NA,Reoviridae,Dinovernavirus,Reo,dsRNA,Fako virus
Reo,NA,Reoviridae,NA,Reo,dsRNA,Fiji disease virus
Reo,NA,Reoviridae,Idnoreovirus,Reo,dsRNA,Idnoreovirus 1
Reo,NA,Reoviridae,NA,Reo,dsRNA,Rice dwarf virus
Reo,NA,Reoviridae,NA,Reo,dsRNA,Southern rice black-streaked dwarf virus
Reo,NA,Reoviridae,NA,Reo,dsRNA,Stretch Lagoon orbivirus
Reo,NA,Reoviridae,NA,Reo,dsRNA,Umatilla virus
Toti-Chryso,NA,Chrysoviridae,NA,Chryso,dsRNA,Persea americana chrysovirus
Toti-Chryso,NA,Chrysoviridae,NA,Chryso,dsRNA,Drosophila-associated Chrysoviridae-like
Toti-Chryso,NA,NA,NA,Chryso,dsRNA,Hubei chryso-like virus 1
Toti-Chryso,NA,Totiviridae,Victorivirus,Toti,dsRNA,Sphaeropsis sapinea RNA virus 2
Toti-Chryso,NA,NA,NA,Toti-Chryso_unclass,dsRNA,dsRNA virus environmental sample
Toti-Chryso,NA,NA,NA,Toti-Chryso_unclass,dsRNA,Hubei toti-like virus 10
Toti-Chryso,NA,Totiviridae,NA,Totivi,dsRNA,Tianjin totivirus
Toti-Chryso,NA,Totiviridae,NA,Totivi,dsRNA,Zygosaccharomyces bailii virus Z
Toti-Chryso,NA,Totiviridae,NA,Totivi,dsRNA,Camponotus yamaokai virus
Anello,NA,Anelloviridae,NA,Anello,ssDNA,Anellovirus PRA1
Anello,NA,Anelloviridae,NA,Anello,ssDNA,Small anellovirus
