virus_tax_id,tax_id,superkingdom,class,order,family,subfamily,genus,species,no rank,,,,
438782,46838,Eukaryota,Liliopsida,Zingiberales,Musaceae,NA,Musa,Musa sp.,root;Magnoliopsida;Spermatophyta;Tracheophyta;cellular organisms;Euphyllophyta;unclassified Musa;Embryophyta;Mesangiospermae;commelinids,,,,
438782,214697,Eukaryota,Liliopsida,Zingiberales,Musaceae,NA,Musa,Musa acuminata,root;Magnoliopsida;Spermatophyta;Musa acuminata AAA Group;Tracheophyta;cellular organisms;Euphyllophyta;Embryophyta;Mesangiospermae;commelinids,,,,
1241371,6451,Eukaryota,Gastropoda,Lepetellida,Haliotidae,NA,NA,NA,root;Opisthokonta;Protostomia;Lophotrochozoa;Eumetazoa;cellular organisms;Bilateria,,,,
1241371,36100,Eukaryota,Gastropoda,Lepetellida,Haliotidae,NA,Haliotis,Haliotis rubra,root;Opisthokonta;Protostomia;Lophotrochozoa;Eumetazoa;cellular organisms;Bilateria,,,,
491893,37770,Eukaryota,Gastropoda,Lepetellida,Haliotidae,NA,Haliotis,Haliotis diversicolor,root;Opisthokonta;Protostomia;Lophotrochozoa;Eumetazoa;cellular organisms;Bilateria,,,,
11788,10090,Eukaryota,Mammalia,Rodentia,Muridae,Murinae,Mus,Mus musculus,root;Opisthokonta;Eutheria;Dipnotetrapodomorpha;Tetrapoda;Amniota;Theria;Euteleostomi;Muroidea;Glires;Bilateria;Vertebrata;Teleostomi;Eumetazoa;Gnathostomata;Deuterostomia;Boreoeutheria;cellular organisms,,,,
2025595,201501,Eukaryota,Insecta,Lepidoptera,Geometridae,Larentiinae,Epirrita,Epirrita autumnata,root;Opisthokonta;Dicondylia;Ecdysozoa;cellular organisms;Protostomia;Pancrustacea;Mandibulata;Bilateria;Ditrysia;Panarthropoda;Eumetazoa;Obtectomera,,,,
665102,3630,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Abutilon,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;cellular organisms;eudicotyledons;Gunneridae;Pentapetalae;Embryophyta;malvids;Mesangiospermae,,,,
665102,4100,Eukaryota,NA,Solanales,Solanaceae,Nicotianoideae,Nicotiana,Nicotiana benthamiana,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;Magnoliopsida;Euphyllophyta;asterids;cellular organisms;lamiids;Embryophyta;Mesangiospermae,,,,
665102,145753,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Malva,Malva parviflora,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;malvids;Magnoliopsida;Euphyllophyta;rosids;cellular organisms;Embryophyta;Mesangiospermae,,,,
1312723,1312722,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Abutilon,Abutilon permolle,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;malvids;Magnoliopsida;Euphyllophyta;rosids;cellular organisms;Embryophyta;Mesangiospermae,,,,
932071,3630,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Abutilon,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;cellular organisms;eudicotyledons;Gunneridae;Pentapetalae;Embryophyta;malvids;Mesangiospermae,,,,
