virus tax id,host tax id
1173297,2
1544364,2
1445859,24
1970795,24
49964,34
1701809,78
137511,171
2041382,172
2041383,172
467481,192
722418,194
1006972,194
1470458,197
1470459,197
1470461,197
1470462,197
1541686,197
1904491,197
990550,197
1110702,197
934027,197
1190451,205
722417,205
1154995,210
1208236,210
1204178,210
2704031,232
2016032,232
1308870,235
1277893,235
294631,239
2023716,239
1458858,239
1647282,267
1714273,274
466051,274
1714272,274
466052,274
581037,286
1729936,286
2307269,286
1225792,286
1093672,286
1225793,286
1225791,286
2079289,286
1844477,286
1752027,286
12024,286
2562635,286
2562636,286
1729933,286
2034347,286
2034346,286
1729937,286
1852562,286
1777064,286
1093100,286
188350,286
10658,287
347325,287
2029635,287
1735586,287
2483611,287
273133,287
347324,287
347329,287
1536596,287
1481224,287
757342,287
749447,287
582345,287
763998,287
1678082,287
1462608,287
549445,287
655098,287
386792,287
1308899,287
549446,287
655097,287
1327768,287
1868596,287
1262514,287
1158721,287
1158680,287
1913575,287
347327,287
1204542,287
1913570,287
347330,287
1718273,287
2203191,287
504346,287
1175657,287
1175653,287
1175654,287
1175659,287
1175662,287
1175655,287
1175663,287
270673,287
1273709,287
538398,287
1837850,287
10872,287
1450169,287
1129145,287
1754217,287
1589273,287
1429758,287
627480,287
204270,287
1815957,287
1815956,287
998086,287
1852644,287
12023,287
496396,287
476523,287
2483418,287
2041215,287
2041345,287
1772332,287
582382,287
1453336,287
1406974,287
1141526,287
1141525,287
1548917,287
1548900,287
1548903,287
1231048,287
1548914,287
1548915,287
1983539,287
2099648,287
1639815,287
1548901,287
1548909,287
1548910,287
1548911,287
1548904,287
1548907,287
1548916,287
1542092,287
2743936,287
2161784,287
1229675,287
1476391,287
1548906,287
1639814,287
1234701,287
1548908,287
1548902,287
1527525,287
1449437,287
1548905,287
1548912,287
1548913,287
1548918,287
1743016,287
1476390,287
1542090,287
1636189,287
1566995,287
1191380,287
1755689,287
1622115,287
1622116,287
347326,287
31535,287
10708,287
389469,287
280701,287
1273707,287
484895,287
347328,287
2590837,287
937835,287
2601635,287
2011081,287
35343,287
169683,287
1129146,287
462590,287
1874539,288
348137,292
437329,292
242861,292
260373,292
209052,292
279280,292
1136535,292
10658,294
2163970,294
1124849,294
1562076,294
2201462,294
2268587,294
1204538,294
942165,294
2059855,294
1235661,294
2175295,294
10658,303
197783,303
1235689,303
1161927,303
1562076,303
1815630,303
988656,303
1815582,303
1114179,303
1777063,303
2604899,303
2041493,305
926543,305
2783867,305
1597967,305
1980924,305
1923889,305
2041351,305
1958965,305
1932892,305
1483485,305
1505528,305
1497850,305
551790,305
913183,305
1402875,305
1689679,305
1481785,305
1538364,305
1417599,305
384359,305
1530086,305
2079257,305
2070026,305
2060091,305
1150992,305
384360,305
1354496,305
1352227,305
1530085,305
406340,305
2079288,306
2029635,306
2719185,306
2719186,306
2719200,306
2079287,306
2530172,306
2079289,306
1603039,306
2079290,306
1983557,306
1873993,306
1873949,317
161736,317
134554,317
593131,317
120086,317
1500757,317
10879,319
247080,329
331627,338
329254,338
2163636,339
10862,339
538979,340
2182344,340
1188795,346
1463607,346
1188794,346
470314,347
232237,347
2024261,358
2024262,358
2024264,358
929833,358
929834,358
10704,379
1527771,381
10704,382
2599764,382
179237,382
1357423,382
1647403,382
1636182,382
1647405,382
1527770,384
1498228,384
1414737,384
762660,469
889876,470
1273713,470
2500826,470
1235824,470
2015804,470
2500827,470
2178927,470
1187128,470
2686308,470
2686290,470
1647373,470
1243183,470
1735582,470
1458669,470
2301662,470
2686303,470
2666257,470
2686289,470
1792222,470
1406779,470
691318,470
1698439,470
1406780,470
1916127,470
2053604,470
2059857,470
1481186,470
2315466,470
2315467,470
2315458,470
1837876,470
1605379,470
2690230,470
2315468,470
1481187,470
1932886,470
1932885,470
2315601,470
2016049,470
2016050,470
2678937,470
2126803,470
1701807,470
1701808,470
1983409,470
1965454,470
1983525,470
1505225,470
1221835,470
1560342,470
1049283,470
10658,471
1628721,472
1628720,472
263375,517
263374,517
1916123,518
1916124,518
1916125,518
1916126,518
2029657,518
194699,518
1206313,543
10864,543
1206300,543
338111,543
310953,543
338136,543
384642,543
338112,543
338113,543
338134,543
338114,543
338129,543
318593,543
338115,543
338137,543
338118,543
338132,543
338119,543
338133,543
338131,543
338109,543
338120,543
338121,543
338116,543
338122,543
338123,543
338138,543
338117,543
75725,543
318594,543
318595,543
318596,543
261665,543
10693,543
338125,543
338126,543
384643,543
338140,543
338127,543
338128,543
338124,543
338130,543
338135,543
2234093,543
2681603,543
10678,543
10679,543
115991,543
67571,543
1527524,544
1871313,544
2267237,546
2267236,546
1673887,546
1675602,546
1675603,546
1527524,546
1540094,546
1540095,546
1701846,546
1610508,546
2315629,546
1805464,546
1805465,546
1805466,546
1805467,546
1540096,546
1871708,547
1587520,548
1701257,548
1682394,548
1095076,548
881915,549
943335,549
2588093,549
2508071,549
2588094,549
